id,brand,model,year,color
1,Mercedes-Benz,G-Class,2012,Crimson
2,Suzuki,SJ,1988,Yellow
3,Mitsubishi,Mirage,1985,Turquoise
4,Mercury,Cougar,1968,Yellow
5,Suzuki,Grand Vitara,2012,Aquamarine
6,Kia,Rondo,2010,Maroon
7,Mercedes-Benz,W201,1992,Teal
8,Pontiac,Bonneville,1988,Puce
9,Toyota,Prius,2009,Turquoise
10,Audi,A6,2004,Goldenrod
11,Maserati,Spyder,2002,Mauv
12,Volvo,XC90,2010,Crimson
13,Ford,Escape,2002,Violet
14,Ford,Explorer Sport Trac,2010,Indigo
15,Oldsmobile,Aurora,2003,Fuscia
16,Audi,A5,2010,Red
17,Pontiac,Fiero,1984,Red
18,Land Rover,Defender,1992,Fuscia
19,Mitsubishi,Outlander,2004,Aquamarine
20,Ford,Escort ZX2,2003,Purple
21,Mercury,Mariner,2010,Maroon
22,Audi,A6,2002,Purple
23,Cadillac,DeVille,1993,Fuscia
24,Nissan,350Z,2006,Aquamarine
25,BMW,X6,2009,Goldenrod
26,Chrysler,300M,2004,Maroon
27,Pontiac,Grand Prix,1995,Red
28,Nissan,Frontier,1999,Aquamarine
29,Suzuki,XL-7,2004,Indigo
30,Jaguar,XK Series,1998,Maroon
31,GMC,Yukon,1993,Yellow
32,Mercury,Cougar,1969,Blue
33,Nissan,Murano,2004,Indigo
34,Mitsubishi,Chariot,1991,Turquoise
35,Toyota,TundraMax,2010,Puce
36,Mercury,Grand Marquis,2000,Fuscia
37,Chevrolet,Monte Carlo,2002,Green
38,BMW,M3,1997,Aquamarine
39,Buick,Regal,1997,Indigo
40,Mazda,B-Series,2002,Mauv
41,Scion,tC,2007,Orange
42,Chevrolet,Tracker,1999,Khaki
43,Buick,Enclave,2012,Blue
44,Lexus,LS,1999,Fuscia
45,Toyota,Avalon,1996,Purple
46,Lexus,RX,2002,Goldenrod
47,Pontiac,Tempest,1961,Pink
48,Audi,A8,1997,Puce
49,Suzuki,Esteem,2000,Puce
50,Ford,Ranger,1987,Teal
51,Subaru,Impreza,2012,Crimson
52,Suzuki,Esteem,1996,Fuscia
53,Oldsmobile,Silhouette,1993,Puce
54,Mercedes-Benz,CLS-Class,2006,Pink
55,Mercury,Tracer,1988,Fuscia
56,GMC,2500,1998,Turquoise
57,Chrysler,Fifth Ave,1992,Crimson
58,Porsche,Cayenne,2011,Maroon
59,Chevrolet,Impala,2001,Yellow
60,GMC,Envoy,2009,Maroon
61,Hummer,H2,2003,Yellow
62,Subaru,Impreza,1993,Pink
63,Pontiac,Montana SV6,2005,Blue
64,Volvo,S60,2012,Pink
65,Mitsubishi,Diamante,2002,Red
66,Honda,Passport,1997,Green
67,Volkswagen,GTI,2002,Mauv
68,BMW,M3,2005,Fuscia
69,Hummer,H1,1998,Green
70,Acura,SLX,1997,Puce
71,Dodge,Dakota Club,1994,Mauv
72,Suzuki,SJ,1993,Aquamarine
73,GMC,2500,1992,Indigo
74,Mercedes-Benz,500SEL,1993,Khaki
75,Toyota,Yaris,2007,Turquoise
76,Jaguar,XJ,2011,Purple
77,Dodge,Nitro,2007,Orange
78,Chevrolet,Cobalt,2008,Teal
79,Ford,EXP,1986,Goldenrod
80,Mercedes-Benz,300SE,1992,Fuscia
81,Cadillac,Seville,1993,Pink
82,Volkswagen,Cabriolet,1992,Maroon
83,Isuzu,Rodeo,1995,Fuscia
84,Mitsubishi,Mirage,1984,Maroon
85,Kia,Sephia,2001,Aquamarine
86,Kia,Sorento,2003,Crimson
87,Chevrolet,Camaro,1974,Crimson
88,Chevrolet,Corvette,1966,Orange
89,Jeep,Wrangler,2008,Goldenrod
90,Dodge,Sprinter,2006,Mauv
91,Ford,E-350 Super Duty,2006,Fuscia
92,Pontiac,Sunbird,1984,Orange
93,Cadillac,Escalade EXT,2004,Mauv
94,Ford,F250,2010,Pink
95,Nissan,Cube,2010,Teal
96,Mazda,Miata MX-5,2003,Fuscia
97,Hyundai,Elantra,2001,Yellow
98,Aston Martin,DB9 Volante,2006,Blue
99,Honda,Civic Si,2003,Indigo
100,Mercury,Marauder,2004,Violet
101,Mercedes-Benz,E-Class,1991,Pink
102,Ford,Mustang,1972,Crimson
103,BMW,5 Series,2007,Orange
104,Mitsubishi,Starion,1988,Yellow
105,Toyota,Corolla,2007,Green
106,Audi,200,1990,Maroon
107,Ford,Festiva,1992,Aquamarine
108,Toyota,Tacoma,2004,Puce
109,Eagle,Summit,1994,Green
110,Mazda,MX-5,2001,Green
111,Pontiac,Solstice,2009,Mauv
112,Chevrolet,Tracker,1998,Purple
113,Mitsubishi,Eclipse,1994,Aquamarine
114,GMC,Safari,2001,Crimson
115,Saab,9-5,2006,Green
116,Oldsmobile,88,1995,Aquamarine
117,Land Rover,Range Rover,1986,Purple
118,Isuzu,i-280,2006,Indigo
119,Ford,F-Series,2009,Puce
120,Chevrolet,Corvette,1984,Blue
121,Mitsubishi,Lancer,2001,Red
122,Dodge,Shadow,1992,Crimson
